,office,office_lat,office_long,orig_coord,postcode,dest_Lat,dest_long,dest_coord,driving_time
28186,2,68.147052,13.61052,"68.147052,13.61052",8300,68.24177624,14.63526871,"68.2417762442086,14.6352687106939",4187
28190,2,68.147052,13.61052,"68.147052,13.61052",8310,68.15172948,14.39685058,"68.1517294798523,14.3968505753318",3674
28198,2,68.147052,13.61052,"68.147052,13.61052",8313,68.27531544,14.32290014,"68.2753154405555,14.3229001423004",2815
28205,2,68.147052,13.61052,"68.147052,13.61052",8315,68.41933821,14.37468117,"68.4193382060366,14.3746811651129",6206
28208,2,68.147052,13.61052,"68.147052,13.61052",8316,68.34984122,14.75869505,"68.349841221499,14.7586950492629",5275
28211,2,68.147052,13.61052,"68.147052,13.61052",8317,68.43770577,14.7706121,"68.437705770315,14.7706120953071",5918
28222,2,68.147052,13.61052,"68.147052,13.61052",8323,68.33112637,15.16950051,"68.3311263691826,15.1695005076908",8977
28225,2,68.147052,13.61052,"68.147052,13.61052",8324,68.26319793,15.02381749,"68.2631979287138,15.0238174908961",8782
28229,2,68.147052,13.61052,"68.147052,13.61052",8325,68.4009857,15.13096443,"68.4009856976173,15.1309644323735",7075
28232,2,68.147052,13.61052,"68.147052,13.61052",8326,68.45392134,15.08638256,"68.4539213378356,15.0863825601396",6248
28247,2,68.147052,13.61052,"68.147052,13.61052",8357,68.19195191,14.01473164,"68.191951907933,14.0147316384809",1781
28251,2,68.147052,13.61052,"68.147052,13.61052",8360,68.30626691,13.71660463,"68.3062669135637,13.716604625432",1596
28255,2,68.147052,13.61052,"68.147052,13.61052",8370,68.16552445,13.57615267,"68.1655244473276,13.5761526695654",744
28259,2,68.147052,13.61052,"68.147052,13.61052",8372,68.12146417,13.516529,"68.1214641697214,13.5165289950762",470
28267,2,68.147052,13.61052,"68.147052,13.61052",8380,67.99675999,13.31448518,"67.996759994732,13.3144851784027",3056
28270,2,68.147052,13.61052,"68.147052,13.61052",8382,68.17826469,13.26480326,"68.178264686632,13.2648032582239",1335
28273,2,68.147052,13.61052,"68.147052,13.61052",8384,67.99101615,13.22244844,"67.9910161483596,13.2224484415704",2806
28276,2,68.147052,13.61052,"68.147052,13.61052",8387,68.11162852,13.02506318,"68.1116285181625,13.0250631798174",2498
28279,2,68.147052,13.61052,"68.147052,13.61052",8390,67.94496567,13.1149707,"67.9449656656846,13.1149707030146",3166
28282,2,68.147052,13.61052,"68.147052,13.61052",8392,67.83586204,13.06072285,"67.8358620356211,13.0607228480956",6329
